epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,777.429,1.26817,3.70577,1.36181,0.24814,0.3479,0.23643,0.18281,0.93746,2.87941,1.0741,0.000166351,0.000166351,0.000166351
2,1549.82,1.30069,2.79635,1.36579,0.31463,0.52509,0.39501,0.29199,0.95792,2.62326,1.13481,0.000326424,0.000326424,0.000326424
3,2329.43,1.2906,2.48493,1.37094,0.4399,0.55763,0.50031,0.37915,0.95774,2.6855,1.13901,0.000479897,0.000479897,0.000479897
4,3092.67,1.27087,2.25252,1.36634,0.49563,0.54922,0.51489,0.38995,0.95547,2.57459,1.14659,0.0004703,0.0004703,0.0004703
5,3869.77,1.22623,2.13693,1.3435,0.49148,0.69206,0.57404,0.41494,1.02382,2.61478,1.14524,0.0004604,0.0004604,0.0004604
6,4632.9,1.20692,1.95911,1.32081,0.59705,0.69041,0.681,0.5034,0.94577,1.84691,1.13381,0.0004505,0.0004505,0.0004505
7,5393.84,1.19117,1.87717,1.32478,0.6028,0.7343,0.72432,0.55862,0.89624,1.70245,1.10582,0.0004406,0.0004406,0.0004406
8,6157.37,1.18155,1.7454,1.32207,0.68208,0.65842,0.71404,0.52844,0.95636,1.72834,1.13204,0.0004307,0.0004307,0.0004307
9,6925.4,1.15626,1.70072,1.28979,0.66825,0.81487,0.77139,0.58688,0.95698,1.64737,1.12847,0.0004208,0.0004208,0.0004208
10,7687.88,1.15311,1.65341,1.28741,0.73225,0.74324,0.76995,0.60314,0.87673,1.52591,1.08588,0.0004109,0.0004109,0.0004109
11,8448.91,1.12263,1.56649,1.27392,0.78142,0.78392,0.80592,0.6284,0.87376,1.28482,1.09479,0.000401,0.000401,0.000401
12,9211.75,1.12861,1.53658,1.28386,0.7556,0.77151,0.83065,0.63937,0.8847,1.24807,1.09309,0.0003911,0.0003911,0.0003911
13,9975.18,1.12631,1.4982,1.27491,0.74736,0.80798,0.8033,0.6345,0.83938,1.40716,1.06135,0.0003812,0.0003812,0.0003812
14,10738.6,1.09286,1.4427,1.26033,0.78815,0.81318,0.82699,0.65247,0.84589,1.31014,1.06534,0.0003713,0.0003713,0.0003713
15,11506.1,1.06551,1.3878,1.23732,0.73022,0.83887,0.83225,0.65962,0.84214,1.26939,1.07576,0.0003614,0.0003614,0.0003614
16,12269.8,1.0921,1.40338,1.26096,0.79881,0.81586,0.83681,0.65964,0.85726,1.16113,1.06906,0.0003515,0.0003515,0.0003515
17,13035.9,1.06546,1.34801,1.24317,0.7929,0.81201,0.84457,0.66565,0.85539,1.19505,1.06859,0.0003416,0.0003416,0.0003416
18,13800.5,1.05116,1.29792,1.22855,0.79928,0.83392,0.86282,0.66935,0.85882,1.12973,1.07722,0.0003317,0.0003317,0.0003317
19,14569.2,1.03253,1.26848,1.21481,0.80692,0.82963,0.86448,0.6798,0.85557,1.10151,1.07246,0.0003218,0.0003218,0.0003218
20,15370,1.02694,1.25918,1.21894,0.81167,0.84602,0.8781,0.68751,0.86098,1.01261,1.08145,0.0003119,0.0003119,0.0003119
21,16187.2,1.0322,1.23445,1.2241,0.82518,0.85844,0.88904,0.70036,0.86133,0.97771,1.07799,0.000302,0.000302,0.000302
22,16988.8,0.99873,1.19238,1.19846,0.82715,0.8574,0.87698,0.67642,0.86073,1.04963,1.07308,0.0002921,0.0002921,0.0002921
23,17758.5,1.00072,1.19169,1.2005,0.83653,0.8564,0.88516,0.69995,0.83395,1.00349,1.06442,0.0002822,0.0002822,0.0002822
24,18520.8,1.02478,1.17903,1.21311,0.85041,0.88988,0.90415,0.71033,0.86688,0.92568,1.06234,0.0002723,0.0002723,0.0002723
25,19281.8,0.98586,1.14474,1.17675,0.85552,0.86796,0.89541,0.70199,0.84987,0.96362,1.05147,0.0002624,0.0002624,0.0002624
26,20044.4,0.98318,1.13615,1.19077,0.83062,0.8916,0.88557,0.69634,0.86156,0.9164,1.05515,0.0002525,0.0002525,0.0002525
27,20817.3,0.97341,1.10222,1.17696,0.85504,0.87507,0.89419,0.70509,0.83868,0.92037,1.05314,0.0002426,0.0002426,0.0002426
28,21588.5,0.97765,1.07799,1.17854,0.87255,0.87905,0.90257,0.7202,0.83047,0.88626,1.04676,0.0002327,0.0002327,0.0002327
29,22356,0.95463,1.06177,1.16801,0.85124,0.87262,0.89723,0.71442,0.83998,0.93333,1.04239,0.0002228,0.0002228,0.0002228
30,23124.6,0.93899,1.0364,1.15745,0.90526,0.84764,0.90691,0.71707,0.85116,0.87738,1.05928,0.0002129,0.0002129,0.0002129
31,23891.5,0.92765,1.02346,1.15258,0.88936,0.89066,0.9125,0.72939,0.82755,0.79841,1.04348,0.000203,0.000203,0.000203
